Position (mm);Force (N);Strain (%);Time (min)
4.63;17200;0.0202;4.61
4.63;17200;0.0205;4.62
4.64;17200;0.0200;4.62
4.64;17200;0.0198;4.63
4.65;17200;0.0200;4.63
4.65;17200;0.0200;4.64
4.66;17200;0.0200;4.64
4.66;17200;0.0214;4.65
4.67;17200;0.0278;4.65
4.67;17200;0.0212;4.66
4.68;17200;0.0212;4.66
4.68;17200;0.0292;4.67
4.69;17200;0.0288;4.67
4.69;17200;0.0285;4.68
4.70;17200;0.0283;4.68
4.70;17200;0.0280;4.69
4.71;17200;0.0280;4.69
4.72;17200;0.0280;4.70
4.72;17200;0.0280;4.70
4.83;17600;0.0280;4.71
4.98;17600;0.0280;4.71
5.13;17700;0.0280;4.72
5.27;17800;0.0282;4.72
5.42;17900;0.0282;4.73
5.57;17900;0.0282;4.73
5.72;18000;0.0282;4.74
5.87;18100;0.0282;4.74
6.02;18100;0.0282;4.75
6.17;18200;0.0282;4.75
6.32;18200;0.0282;4.76
6.47;18300;0.0282;4.76
6.62;18300;0.0283;4.77
6.77;18300;0.0283;4.77
6.92;18300;0.0283;4.78
7.07;18300;0.0283;4.78
7.22;18400;0.0283;4.79
7.37;18400;0.0283;4.79
7.52;18400;0.0283;4.80
7.67;18300;0.0283;4.80
7.82;18300;0.0283;4.81
7.97;18300;0.0283;4.81
8.12;18300;0.0283;4.82
8.27;18300;0.0283;4.82
8.42;18200;0.0283;4.83
8.57;18200;0.0285;4.83
8.72;18100;0.0285;4.84
8.87;18000;0.0285;4.84
9.02;17800;0.0285;4.85
9.17;17600;0.0285;4.85
9.32;17300;0.0285;4.86
9.47;17000;0.0285;4.86
9.62;16700;0.0285;4.87
9.77;16400;0.0285;4.87
9.92;16100;0.0285;4.88
10.1;15800;0.0286;4.88
10.2;15400;0.0285;4.89
10.4;15000;0.0287;4.89
10.5;14700;0.0287;4.90
10.7;14300;0.0287;4.90
10.8;13900;0.0287;4.91
11.0;13400;0.0287;4.91
11.1;13000;0.0287;4.92
11.3;12500;0.0287;4.92
11.6;-138;0.0287;4.93
