Position (mm),Force (N),Strain (%),Time (min),Tensão (MPa),
3.97,17600,-7.57,3.96,,
3.98,17600,-7.57,3.97,,
3.98,17600,-7.57,3.97,,
3.99,17600,-7.57,3.98,,
3.99,17600,-7.57,3.98,,
4,17600,-7.57,3.99,,
4,17600,-7.57,3.99,,
4.01,17600,-7.57,3.99,,
4.01,17600,-7.57,4,,
4.01,17600,-7.57,4,,
4.02,17600,-7.57,4.01,,
4.02,17600,-7.57,4.01,,
4.03,17600,-7.57,4.02,,
4.03,17600,-7.57,4.02,,
4.04,17600,-7.57,4.03,,
4.04,17600,-7.57,4.03,,
4.05,17600,-7.57,4.03,,
4.05,17600,-7.57,4.04,,
4.06,17600,-7.57,4.04,,
4.06,17600,-7.57,4.05,,
4.06,17600,-7.57,4.05,,
4.07,17600,-7.57,4.06,,
4.07,17600,-7.56,4.06,,
4.08,17600,-7.55,4.07,,
4.08,17600,-7.57,4.07,,
4.09,17600,-7.6,4.08,,
4.09,17600,-7.61,4.08,,
4.1,17600,-7.61,4.08,,
4.1,17600,-7.64,4.09,,
4.1,17600,-7.61,4.09,,
4.11,17600,-7.6,4.1,,
4.11,17600,-7.26,4.1,,
4.12,17600,-3.07,4.11,,
4.12,17600,-4.2,4.11,,
4.13,17600,-7.6,4.12,,
4.13,17600,-6.33,4.12,,
4.14,17600,-0.714,4.12,,
4.14,17600,-0.413,4.13,,
4.14,17600,-0.343,4.13,,
4.15,17600,-0.163,4.14,,
4.15,17600,-0.176,4.14,,
4.16,17600,-0.148,4.15,,
4.16,17600,0.00414,4.15,,
4.17,17600,0.0673,4.16,,
4.17,17600,0.165,4.16,,
4.18,17600,0.43,4.16,,
4.18,17600,-0.0481,4.17,,
4.19,17600,-0.233,4.17,,
4.19,17600,0.408,4.18,,
4.19,17600,0.0312,4.18,,
4.2,17700,0.038,4.19,,
4.2,17700,0.05,4.19,,
4.21,17700,0.0509,4.2,,
4.21,17700,0.0746,4.2,,
4.22,17700,0.0966,4.2,,
4.22,17700,0.104,4.21,,
4.23,17700,0.125,4.21,,
4.23,17700,0.112,4.22,,
4.23,17700,0.0996,4.22,,
4.24,17700,0.104,4.23,,
4.24,17700,0.104,4.23,,
4.25,17700,0.117,4.24,,
4.25,17700,0.11,4.24,,
4.26,17700,0.112,4.25,,
4.27,17700,0.111,4.25,,
4.27,17700,0.111,4.25,,
4.36,18100,0.11,4.26,,
4.5,18100,0.108,4.26,,
4.64,18200,0.109,4.27,,
4.77,18200,0.108,4.27,,
4.91,18300,0.105,4.28,,
5.05,18400,0.1,4.28,,
5.18,18400,0.0992,4.29,,
5.32,18500,0.102,4.29,,
5.45,18600,0.0918,4.3,,
5.59,18600,0.0979,4.3,,
5.73,18700,0.172,4.3,,
5.86,18700,0.143,4.31,,
6,18700,0.175,4.31,,
6.14,18800,0.153,4.32,,
6.27,18800,0.229,4.32,,
6.41,18800,0.231,4.33,,
6.54,18800,0.246,4.33,,
6.68,18900,0.176,4.34,,
6.82,18900,0.153,4.34,,
6.95,18900,0.144,4.35,,
7.09,18900,0.141,4.35,,
7.23,18900,0.142,4.35,,
7.36,18900,0.139,4.36,,
7.5,18900,0.139,4.36,,
7.63,18800,0.139,4.37,,
7.77,18800,0.138,4.37,,
7.91,18800,0.137,4.38,,
8.04,18700,0.138,4.38,,
8.18,18700,0.138,4.39,,
8.31,18600,0.139,4.39,,
8.45,18500,0.139,4.39,,
8.59,18300,0.138,4.4,,
8.72,18000,0.139,4.4,,
8.86,17800,0.138,4.41,,
9,17500,0.138,4.41,,
9.13,17200,0.138,4.42,,
9.27,16900,0.134,4.42,,
9.4,16600,0.132,4.43,,
9.54,16300,0.157,4.43,,
9.68,16000,0.13,4.44,,
9.81,15700,0.131,4.44,,
9.95,15300,0.153,4.44,,
10.1,15000,0.124,4.45,,
10.2,14600,0.129,4.45,,
10.4,14200,0.117,4.46,,
10.5,13800,0.115,4.46,,
10.6,13400,0.128,4.47,,
10.8,13000,0.136,4.47,,
11,370,0.137,4.48,,
